Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	7574391	1.7102798853965387e-2	1.572002974566721e-4
<12880A>	BergamoItalian2	7574391	1.7010641515601728e-2	1.5814859909842957e-4
<12880A>	French2	7574391	1.70847525766555e-2	1.571163546828136e-4
<12880A>	Han2	7574391	1.5584915267179108e-2	1.5038566751388418e-4
<12880A>	Karitiana2	7574391	1.5982116582045992e-2	1.5410498600064155e-4
<12880A>	Mbuti2	7574391	1.166128555597887e-2	1.2351641008762881e-4
<12880A>	Orcadian2	7574391	1.7130948217487053e-2	1.5945324321232319e-4
<12880A>	Russian2	7574391	1.6985538335115305e-2	1.5683918344179014e-4
<12880A>	Sardinian2	7574391	1.6990248913944142e-2	1.5799412856513784e-4
<12880A>	Tuscan2	7574391	1.6959383269229182e-2	1.5724878019089404e-4
<12881A>	Basque2	31745538	1.712513709725726e-2	1.4994783892734734e-4
<12881A>	BergamoItalian2	31745538	1.702806076242903e-2	1.502172052342855e-4
<12881A>	French2	31745538	1.710467516362821e-2	1.4885745800437928e-4
<12881A>	Han2	31745538	1.5639986135801143e-2	1.437677454001142e-4
<12881A>	Karitiana2	31745538	1.59989035309466e-2	1.4720366653060043e-4
<12881A>	Mbuti2	31745538	1.1691684613498041e-2	1.1711247435062666e-4
<12881A>	Orcadian2	31745538	1.7153577251125447e-2	1.5029831351295712e-4
<12881A>	Russian2	31745538	1.7038061688625605e-2	1.483410960125509e-4
<12881A>	Sardinian2	31745538	1.6988717619755928e-2	1.4965419299249488e-4
<12881A>	Tuscan2	31745538	1.6970293063968026e-2	1.5006639646623202e-4
<12883A>	Basque2	31279125	1.7147504240333726e-2	1.5219700352880547e-4
<12883A>	BergamoItalian2	31279125	1.704124555913889e-2	1.527984034228957e-4
<12883A>	French2	31279125	1.7129627802272906e-2	1.5121445599628936e-4
<12883A>	Han2	31279125	1.5692541519046185e-2	1.4497107999803302e-4
<12883A>	Karitiana2	31279125	1.606030859239189e-2	1.4876518060839248e-4
<12883A>	Mbuti2	31279125	1.1707113697306815e-2	1.1969477900639616e-4
<12883A>	Orcadian2	31279125	1.717134031083032e-2	1.527961246130939e-4
<12883A>	Russian2	31279125	1.703094733100054e-2	1.5086583413116098e-4
<12883A>	Sardinian2	31279125	1.703562064771019e-2	1.512472644405671e-4
<12883A>	Tuscan2	31279125	1.6977755398635146e-2	1.5193980449607915e-4
<12884A>	Basque2	50146916	1.724030864677321e-2	1.5659071636874705e-4
<12884A>	BergamoItalian2	50146916	1.7120096677530474e-2	1.5729101034625754e-4
<12884A>	French2	50146916	1.7216061394790143e-2	1.567008157522038e-4
<12884A>	Han2	50146916	1.5788791992840626e-2	1.4969839095277908e-4
<12884A>	Karitiana2	50146916	1.609004729224025e-2	1.5605391191995103e-4
<12884A>	Mbuti2	50146916	1.1770454637728826e-2	1.238016548658751e-4
<12884A>	Orcadian2	50146916	1.723822550032482e-2	1.589688534169286e-4
<12884A>	Russian2	50146916	1.7121222369886127e-2	1.5627501030662748e-4
<12884A>	Sardinian2	50146916	1.7109922112121038e-2	1.5628011694391905e-4
<12884A>	Tuscan2	50146916	1.7126056499001185e-2	1.5677908098804321e-4
<12885A>	Basque2	3305708	1.693662828629982e-2	1.5623512471100577e-4
<12885A>	BergamoItalian2	3305708	1.6832173319603568e-2	1.5796682301991833e-4
<12885A>	French2	3305708	1.691906847186745e-2	1.5545994225866418e-4
<12885A>	Han2	3305708	1.5542110016781527e-2	1.5169493744693262e-4
<12885A>	Karitiana2	3305708	1.5818850303777596e-2	1.556830166423018e-4
<12885A>	Mbuti2	3305708	1.1577893862263815e-2	1.2404087855855217e-4
<12885A>	Orcadian2	3305708	1.6951006236206267e-2	1.5721423554196717e-4
<12885A>	Russian2	3305708	1.684732826555975e-2	1.5627536150106854e-4
