Left	Right	Norm	RAS	StdErr
<12880A>	Basque2	7574391	6.926436474594246e-2	4.801187748124408e-4
<12880A>	BergamoItalian2	7574391	6.941187746975304e-2	4.8597003953310445e-4
<12880A>	French2	7574391	6.915556998880523e-2	4.811851510934747e-4
<12880A>	Han2	7574391	6.82010500058471e-2	4.759660356382176e-4
<12880A>	Karitiana2	7574391	6.852955570949523e-2	4.648257979866187e-4
<12880A>	Mbuti2	7574391	6.492128902148404e-2	4.772612837105584e-4
<12880A>	Orcadian2	7574391	6.949254300546276e-2	4.888986794758668e-4
<12880A>	Russian2	7574391	6.924259653350329e-2	4.829509160162857e-4
<12880A>	Sardinian2	7574391	6.92996638277586e-2	4.8186451448953803e-4
<12880A>	Tuscan2	7574391	6.941902435896607e-2	4.861790170242471e-4
<12881A>	Basque2	31745538	7.145758862987481e-2	4.614008753763621e-4
<12881A>	BergamoItalian2	31745538	7.162794342940396e-2	4.6895692234216074e-4
<12881A>	French2	31745538	7.130249417923086e-2	4.621651173165087e-4
<12881A>	Han2	31745538	7.040458115567753e-2	4.5864398941786096e-4
<12881A>	Karitiana2	31745538	7.075622722160209e-2	4.504259345640969e-4
<12881A>	Mbuti2	31745538	6.698006303637577e-2	4.6024685297277334e-4
<12881A>	Orcadian2	31745538	7.170575375882007e-2	4.677807925379349e-4
<12881A>	Russian2	31745538	7.145768560964483e-2	4.632843389608903e-4
<12881A>	Sardinian2	31745538	7.1496275500804e-2	4.633572802784288e-4
<12881A>	Tuscan2	31745538	7.161675235534926e-2	4.6921538552613276e-4
<12883A>	Basque2	31279125	7.099917048739034e-2	4.601956812670999e-4
<12883A>	BergamoItalian2	31279125	7.11539277393468e-2	4.6796981071045156e-4
<12883A>	French2	31279125	7.08539198390181e-2	4.623902099962469e-4
<12883A>	Han2	31279125	6.99837604256069e-2	4.5678618818671587e-4
<12883A>	Karitiana2	31279125	7.031310338764284e-2	4.4847154030676464e-4
<12883A>	Mbuti2	31279125	6.653255311504302e-2	4.572744909637025e-4
<12883A>	Orcadian2	31279125	7.12279515491573e-2	4.676721066475649e-4
<12883A>	Russian2	31279125	7.096519539441379e-2	4.630975277653239e-4
<12883A>	Sardinian2	31279125	7.10426092112924e-2	4.6195487698338363e-4
<12883A>	Tuscan2	31279125	7.112679516024385e-2	4.645867245219431e-4
<12884A>	Basque2	50146916	7.313321739513813e-2	4.758235378680013e-4
<12884A>	BergamoItalian2	50146916	7.328042366553401e-2	4.8208531430179324e-4
<12884A>	French2	50146916	7.294992861191499e-2	4.786933934482546e-4
<12884A>	Han2	50146916	7.210133224569386e-2	4.717779989040028e-4
<12884A>	Karitiana2	50146916	7.237215245699206e-2	4.6550829810792246e-4
<12884A>	Mbuti2	50146916	6.838915532258721e-2	4.7150094611382587e-4
<12884A>	Orcadian2	50146916	7.334654975055362e-2	4.852571265207114e-4
<12884A>	Russian2	50146916	7.308909172955379e-2	4.790824978060648e-4
<12884A>	Sardinian2	50146916	7.318100233567859e-2	4.7752492113487725e-4
<12884A>	Tuscan2	50146916	7.333968453812814e-2	4.828919336411271e-4
<12885A>	Basque2	3305708	6.999977297565607e-2	4.7395959279535293e-4
<12885A>	BergamoItalian2	3305708	7.0151764765672e-2	4.8415691542016623e-4
<12885A>	French2	3305708	6.986675076052597e-2	4.75089827710152e-4
<12885A>	Han2	3305708	6.898006954695791e-2	4.7235533206168526e-4
<12885A>	Karitiana2	3305708	6.930453324976071e-2	4.6708314341368764e-4
<12885A>	Mbuti2	3305708	6.555360936570653e-2	4.7310970321945444e-4
<12885A>	Orcadian2	3305708	7.020815324467664e-2	4.813450625942642e-4
<12885A>	Russian2	3305708	7.001448903585526e-2	4.769255989767221e-4
<12885A>	Sardinian2	3305708	7.001666627728569e-2	4.756464494312281e-4
<12885A>	Tuscan2	3305708	7.015272270468734e-2	4.828012685228254e-4
<15558A>	Basque2	25977407	7.200008911773201e-2	4.602993579388051e-4
<15558A>	BergamoItalian2	25977407	7.216449278405661e-2	4.684448696746213e-4
<15558A>	French2	25977407	7.184468988764006e-2	4.627276121075555e-4
<15558A>	Han2	25977407	7.09568094827503e-2	4.5848407144553324e-4
<15558A>	Karitiana2	25977407	7.137184053820304e-2	4.527518327936897e-4
<15558A>	Mbuti2	25977407	6.752188371015906e-2	4.584072373883562e-4
<15558A>	Orcadian2	25977407	7.226008709444007e-2	4.666150728275245e-4
<15558A>	Russian2	25977407	7.199380399383509e-2	4.6507715586534753e-4
<15558A>	Sardinian2	25977407	7.2049673483874e-2	4.631567112402317e-4
<15558A>	Tuscan2	25977407	7.216153893522415e-2	4.6974678106971623e-4
<15569A>	Basque2	18716980	7.2315009966249e-2	4.615312659406964e-4
<15569A>	BergamoItalian2	18716980	7.247591758926944e-2	4.697538933260461e-4
<15569A>	French2	18716980	7.21123156209376e-2	4.6296881216219965e-4
<15569A>	Han2	18716980	7.120495193617417e-2	4.55576112417041e-4
<15569A>	Karitiana2	18716980	7.163200740717808e-2	4.442816664336114e-4
<15569A>	Mbuti2	18716980	6.780999731988673e-2	4.5911749391391735e-4
<15569A>	Orcadian2	18716980	7.254969305123803e-2	4.700657307327011e-4
<15569A>	Russian2	18716980	7.226392245460236e-2	4.628290856376576e-4
<15569A>	Sardinian2	18716980	7.234044352322817e-2	4.6119521017672603e-4
<15569A>	Tuscan2	18716980	7.251240139523939e-2	4.677713896367327e-4
<15570A>	Basque2	46296646	7.183450436231506e-2	4.6933040213402314e-4
<15570A>	BergamoItalian2	46296646	7.199554693443581e-2	4.7463286236822057e-4
<15570A>	French2	46296646	7.166573478878274e-2	4.702918874910723e-4
<15570A>	Han2	46296646	7.078993193923488e-2	4.654833094447154e-4
<15570A>	Karitiana2	46296646	7.112164129556993e-2	4.565278133004741e-4
<15570A>	Mbuti2	46296646	6.73141546994378e-2	4.692631831099419e-4
<15570A>	Orcadian2	46296646	7.206554693799354e-2	4.7524322527131075e-4
<15570A>	Russian2	46296646	7.179944525570982e-2	4.7068491794205664e-4
<15570A>	Sardinian2	46296646	7.189043124536175e-2	4.6927225967526465e-4
<15570A>	Tuscan2	46296646	7.199473298058504e-2	4.751592876567213e-4
<15577A>	Basque2	44081970	7.187457171913259e-2	4.687221794623152e-4
<15577A>	BergamoItalian2	44081970	7.202930812756247e-2	4.756612636891038e-4
<15577A>	French2	44081970	7.17165631348915e-2	4.6979698535658444e-4
<15577A>	Han2	44081970	7.083028430312796e-2	4.6612088976836737e-4
<15577A>	Karitiana2	44081970	7.111020333256404e-2	4.5731902919333436e-4
